,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-03-05,1.0,0.9622154570877492,0.0,0.9622154570877492,0.0,0.9622154570877492,0.0,0.9622154570877492
2020-03-06,1.0,0.9677632234000506,0.0,0.9677632234000506,0.0,0.9677632234000506,0.0,0.9677632234000506
2020-03-07,1.0,0.9613752775282003,0.0,0.9613752775282003,0.0,0.9613752775282003,0.0,0.9613752775282003
2020-03-08,1.0,0.9672412085697941,0.0,0.9672412085697941,0.0,0.9672412085697941,0.0,0.9672412085697941
2020-03-09,1.0,0.9611651178847387,0.0,0.9611651178847387,0.0,0.9611651178847387,0.0,0.9611651178847387
2020-03-10,1.0,0.9668233937733792,0.0,0.9668233937733792,0.0,0.9668233937733792,0.0,0.9668233937733792
2020-03-11,1.0,0.9643127033794534,0.0,0.9643127033794534,0.0,0.9643127033794534,0.0,0.9643127033794534
2020-03-12,2.0,1.3541555943603278,0.0,1.3541555943603278,0.0,1.3541555943603278,0.0,1.3541555943603278
2020-03-13,2.0,1.3466756675366771,0.0,1.3466756675366771,0.0,1.3466756675366771,0.0,1.3466756675366771
2020-03-14,4.0,1.8881341332253123,0.0,1.8881341332253123,0.0,1.8881341332253123,0.0,1.8881341332253123
2020-03-15,4.0,1.9958036785296096,0.0,1.9958036785296096,0.0,1.9958036785296096,0.0,1.9958036785296096
2020-03-16,8.0,2.7120382584232683,0.0,2.7120382584232683,0.0,2.7120382584232683,0.0,2.7120382584232683
2020-03-17,8.0,2.747340311624825,0.0,2.747340311624825,0.0,2.747340311624825,0.0,2.747340311624825
2020-03-18,11.0,3.311229745010519,0.0,3.311229745010519,0.0,3.311229745010519,0.0,3.311229745010519
2020-03-19,13.0,3.583548266985974,0.25,3.616146869503253,0.0,3.616146869503253,0.25,3.616146869503253
2020-03-20,16.0,4.0188696335304455,0.13,4.0344780494276,0.0,4.0344780494276,0.13,4.148925015938319
2020-03-21,26.0,5.017726154103646,0.68,5.078383183413375,0.0,5.078383183413375,0.68,5.168579899916242
2020-03-22,26.0,4.862035987052538,1.1,4.9556224573098735,0.74,4.974996878330071,1.1,5.049133539029197
2020-03-23,33.0,5.428972036558798,1.1600000000000001,5.521117402640282,0.72,5.539344489534603,1.1600000000000001,5.604157006863366
2020-03-24,39.99999999999999,6.128506005429534,1.77,6.258984411115422,0.76,6.273538543643919,1.77,6.333216665592086
2020-03-25,40.0,6.180843654617733,1.6400000000000001,6.312466101519143,0.71,6.328754086139569,1.6400000000000001,6.385697085888688
2020-03-26,48.0,6.786111782995705,1.97,6.907634409210807,0.64,6.924291525586798,1.97,7.039115747382658
2020-03-27,54.0,6.813326217158118,2.41,6.978217117675126,1.45,7.004499563952741,2.41,7.10697189349652
2020-03-28,61.0,7.575652120478147,2.83,7.731688369981362,1.61,7.750929302380783,2.83,7.958897885734905
2020-03-29,72.0,7.835492932480348,3.42,8.032518253633134,2.03,8.07529872481195,3.42,8.276749471754101
2020-03-30,85.0,9.021052817681202,4.69,9.251242832149307,2.91,9.29017728245236,4.69,9.640572879997611
2020-03-31,97.0,9.703878220858531,4.63,9.906995130979551,2.97,9.941712756122685,4.63,10.280876971986938
2020-04-01,120.0,10.664403168930503,6.66,10.927373652872632,4.13,10.997299438930222,6.66,11.418044376062713
2020-04-02,139.0,11.77560395414386,8.0,12.066003832456232,5.85,12.1283118563487,7.75,12.596228271457559
2020-04-03,153.00000000000003,11.681782415540892,8.709999999999999,12.000872485117089,5.87,12.070378635487803,8.579999999999998,12.660882810268545
2020-04-04,165.99999999999997,12.428567613739443,9.530000000000001,12.751078108508821,6.46,12.834266357267676,8.850000000000001,13.725158239046596
2020-04-05,193.99999999999997,13.54044446698986,11.72,13.888521748682841,7.94,13.980966932356155,10.620000000000001,14.746159849365199
2020-04-06,209.0,14.13722073467802,12.78,14.534208272245522,8.81,14.598531093949493,11.62,15.547538309158384
2020-04-07,227.0,14.361733667611093,13.68,14.74942012214019,9.44,14.828748900004811,11.91,16.02249293331034
2020-04-08,273.0,15.831065228298009,15.8,16.252508306800717,10.8,16.34515298988132,14.16,17.435344979249898
2020-04-09,300.0,16.810494557648422,18.13,17.262376061038854,13.1,17.366623945739345,16.16,18.593144984215026
2020-04-10,348.99999999999994,18.26543902090127,21.229999999999997,18.743894009150356,15.02,18.859299102200556,18.819999999999997,20.000726905982113
2020-04-11,383.0,19.35071319125218,23.110000000000003,19.84988163718114,16.9,19.970172783681697,20.28,21.302507036980558
2020-04-12,430.0,19.889802473233427,25.790000000000003,20.45710004923089,18.07,20.563998697341002,22.370000000000005,21.977586125850852
2020-04-13,462.99999999999994,21.22586567698415,28.639999999999997,21.737699366247885,20.27,21.862860602797927,23.949999999999996,23.624416769028766
2020-04-14,556.9999999999999,22.514682078388518,34.29,23.153328250834893,24.49,23.277167119108572,29.66,25.183827382194345
2020-04-15,734.0,26.660018110582104,46.480000000000004,27.405954930572403,33.89,27.58920560031705,39.82000000000001,29.5041329410993
2020-04-16,935.0000000000001,30.161022408520452,59.150000000000006,30.966510502917064,42.51,31.118719008456516,51.150000000000006,33.23421762599688
2020-04-17,952.0,31.169565575763457,60.120000000000005,32.00739005576397,43.67,32.19276499746206,51.410000000000004,34.1832409023173
2020-04-18,1099.0,31.7115949224452,69.83,32.610515980665696,49.61,32.850930771064206,60.3,35.01479323735249
2020-04-19,1195.0,32.99614302529092,76.37,33.98152666590267,55.42,34.1942649364693,64.65,36.710151060831805
2020-04-20,1212.0,32.470424771605394,75.77,33.41692961432102,54.67,33.63171546098244,62.989999999999995,36.440834169232396
2020-04-21,1313.0,32.94200290746687,82.59,34.01622929655131,59.3,34.24987380349825,68.91,37.07626261497981
2020-04-22,1351.0,35.62018494839093,84.82,36.592865093588614,60.73,36.847182738407234,69.02,40.03975277171679
2020-04-23,1453.0,36.35439756373667,93.27000000000001,37.39697744767914,67.68,37.679590260805945,75.14000000000001,41.188876526253416
2020-04-24,1665.0000000000002,40.65345786478238,104.96000000000002,41.72931627002336,75.39,42.01111443848683,83.73000000000002,45.74570361236013
2020-04-25,1711.0,39.847715167126005,108.16999999999999,41.04874302631451,77.97,41.31523210681993,85.05999999999999,45.596240031942386
2020-04-26,1818.9999999999998,42.69746520993414,116.63,43.80535852328497,84.14,44.10317262231296,90.83999999999999,48.34668941900549
2020-04-27,1944.0000000000005,42.033334534880915,123.32999999999998,43.31573746482002,88.68,43.56249203295437,94.68999999999998,48.46422067730571
2020-04-28,2163.9999999999995,44.4809935576847,135.58,45.67341664336912,97.64,45.9577130401284,101.29000000000002,51.206812017247245
2020-04-29,2538.0000000000005,48.72049327178929,160.25,50.14002557484853,115.87,50.4285163835549,113.77,57.14112818542377
2020-04-30,2688.0,51.66960695445905,169.64,53.12158208137521,121.93,53.50259416914552,110.48999999999998,61.48843188401828
2020-05-01,2913.0,52.697104744804044,186.42,54.18969134886126,134.07,54.552431187664304,126.29999999999998,62.93644148398182
2020-05-02,3104.0,53.955230225501495,197.29000000000002,55.47051801350758,142.93,55.9392837698774,127.46000000000002,64.34612747642333
2020-05-03,3208.0,53.83069606074064,205.88,55.45178661128817,148.57,55.71737375705928,129.51,65.03571936197287
2020-05-04,3351.0,57.54268507864928,211.23999999999998,59.10844784005588,153.48,59.48275553520202,135.46999999999997,67.90066119640582
2020-05-05,3539.9999999999995,56.75764532668971,226.54,58.47413704391286,164.12,58.820322194206845,143.95,67.64856656711846
2020-05-06,3714.0,59.549251324708806,234.59000000000003,61.29353337288798,168.83,61.68823496691514,149.77000000000004,71.38581798292226
2020-05-07,3988.0,60.54416202703243,254.02999999999997,62.23279244542668,183.5,62.54270905193951,160.75999999999996,72.6047820586067
2020-05-08,4242.0,61.2257026637234,269.37,63.15748385319563,194.17,63.57380645098001,164.40999999999997,75.6981083187044
2020-05-09,4412.0,63.37931982767078,283.15999999999997,65.18609960580693,205.27,65.51354578877701,174.98999999999998,77.0339333401754
2020-05-10,4598.999999999999,66.16201876660602,293.32,68.0765989696366,211.51,68.57691468178433,176.69,80.95265753899784
2020-05-11,4819.0,66.99138192726922,307.62999999999994,68.81154229142996,221.67,69.19573290691596,184.29999999999995,81.30978701636394
2020-05-12,5087.0,68.75926824579338,326.54,70.6950109250785,236.47,71.02994910386019,190.96,84.16558416345576
2020-05-13,5401.0,72.47747403451808,343.45,74.34984695629335,248.04,74.85424598794809,183.2,89.67676347343668
2020-05-14,5813.0,73.59163874333343,370.3499999999999,75.69698800434067,267.12,76.09244110244653,200.70999999999992,92.47668071334296
2020-05-15,6198.0,74.47574345809758,395.81,76.6707366837985,285.66,77.05028399452117,209.39000000000001,93.88782941426015
2020-05-16,6595.0,75.18839906219146,423.97999999999996,77.73689956214716,307.48,78.25123100332259,226.68999999999994,95.49871162598072
2020-05-17,6743.999999999999,78.78644194494022,432.27,81.20321997521671,312.34,81.83927745492035,226.39,98.33037970397181
2020-05-18,7157.0,83.05250377826296,456.99,85.3220632886851,329.68,85.73197818689584,245.75000000000003,103.79625759100851
2020-05-19,7693.0,81.71927433586153,488.48999999999995,84.36582304452317,352.89,84.95722451904722,261.94999999999993,102.64899805166195
2020-05-20,8495.0,86.91111330642138,540.81,89.32357536597836,391.38,89.88613194571015,306.2199999999999,108.33096671540851
2020-05-21,8878.0,90.45162778909494,565.31,93.20260012304898,410.06,93.70272711984946,311.28,112.0698225449319
2020-05-22,9520.0,93.10695381379873,607.99,95.8926292708926,440.31,96.3723520958415,338.62,114.82275086040882
2020-05-23,9918.0,95.0433946610014,638.75,97.83590020379467,460.36,98.51169356318502,355.59000000000003,117.56313601850306
2020-05-24,10007.000000000002,93.14459379660934,637.23,96.00901548050243,461.64,96.74482649493645,343.91,117.69517569045931
2020-05-25,10365.0,98.02735651981352,661.1499999999999,100.82077427922593,477.25,101.68940960720847,353.5199999999999,122.06496990860187
2020-05-26,10889.000000000002,98.03288460841323,702.8900000000001,101.07623936735312,507.03,102.12627117762827,376.3500000000001,123.34581766052482
2020-05-27,11484.0,106.76718369963456,735.55,109.74328505722578,532.23,110.36378806090119,392.09999999999997,132.5574907637277
2020-05-28,12203.0,106.42594428127765,776.66,109.62482481701679,561.28,110.30541154522574,406.31000000000006,133.22025450017318
2020-05-29,12903.0,111.14925900687679,820.24,114.3177824215366,592.32,114.96004948580087,424.43,137.64794673882406
2020-05-30,13437.000000000002,112.88117914896445,854.0899999999999,116.0601245306096,618.38,116.76535490487154,430.10999999999996,139.6888616160786
2020-05-31,13689.999999999998,112.49676179402415,879.4500000000002,116.04379567276061,634.14,116.65883127368204,447.1800000000002,141.63377227372308
2020-06-01,14285.0,115.41447837330384,913.1899999999999,118.6260288392974,661.13,119.34222981904529,456.19999999999993,146.12319871266234
2020-06-02,15151.0,122.42700814457702,966.34,125.7345335348739,698.22,126.34961227970717,477.8500000000001,151.41586779862976
2020-06-03,16121.0,122.86552474847115,1030.66,126.20275500842752,748.04,127.23880607627996,489.85000000000014,154.61512373593598
2020-06-04,16894.0,127.39901130231773,1084.48,130.97054508861174,783.89,131.6720987180203,519.1700000000001,160.74827635313872
2020-06-05,18109.0,135.33839444186196,1156.53,139.12499743073138,833.32,139.8752390886286,548.54,168.9708887903057
2020-06-06,18949.999999999996,139.08323501639677,1208.5800000000002,142.82650756293896,872.6,143.7318728140222,569.8300000000002,173.12213790071195
2020-06-07,19619.0,133.2822917454877,1254.25,137.4703138605906,908.27,138.26461692323633,617.02,167.6777213778403
2020-06-08,20659.0,141.20793965716737,1325.88,145.29387813057446,959.63,146.06780659071396,664.7300000000002,176.84778638276717
2020-06-09,21963.999999999996,147.6702065380485,1410.3100000000002,151.87659529693804,1020.18,152.94818664825647,707.4200000000001,182.4360336217502
2020-06-10,23391.0,150.93576933466258,1493.4899999999998,155.01201038837755,1081.9,155.8295651172988,757.9399999999998,189.92712281240398
2020-06-11,24428.0,147.56319995106497,1563.25,152.0479006096368,1131.34,152.7735856743501,786.59,187.44643580489765
2020-06-12,25502.000000000004,150.47403346582675,1623.26,154.87788011034615,1170.09,155.93511358085695,803.02,192.4986055150856
